cluster,count
DG_200,23160
DG_201,18971
CA13_180,13957
DG_204,9136
DG_203,8238
CA13_179,8059
CA13_183,7847
CA13_184,7776
CA13_182,7341
CA13_119,6641
CA13_181,6501
CA13_186,5922
DG_205,5612
CA13_187,5354
LLC_268,3671
CGE_293,3027
CGE_287,2784
MGE_236,2632
MGE_257,2417
CA4_197,2360
CGE_286,2154
CA4_195,2146
CGE_294,2071
CGE_279,1938
CGE_290,1776
CGE_291,1751
CA4_192,1628
CGE_288,1559
CA13_169,1556
CGE_276,1532
MGE_246,1519
CA13_188,1435
CA4_196,1359
MGE_249,1355
DG_199,1322
CA4_193,1320
MGE_252,1279
MGE_256,1203
CGE_282,1201
CGE_289,1126
CGE_285,1047
MGE_247,1010
CGE_283,994
MGE_254,983
LLC_266,967
CGE_292,915
MGE_258,871
CGE_296,855
CGE_284,850
LLC_269,825
LLC_267,821
MGE_242,719
MGE_259,594
CGE_278,582
CA13_185,561
CA4_194,550
CA4_191,477
CGE_295,425
MGE_251,412
MGE_255,404
MGE_250,400
LLC_271,400
DG_202,398
CGE_280,396
CA4_198,375
CA4_190,336
LLC_270,317
MGE_248,316
MGE_261,303
CA13_189,256
MGE_245,239
LLC_273,237
CGE_281,236
MGE_253,234
MGE_243,230
LLC_265,218
LLC_274,198
MGE_262,187
LLC_264,185
MGE_241,138
MGE_260,119
LLC_275,114
LLC_272,113
CGE_277,100
MGE_239,91
MGE_244,76
MGE_240,31
CA13_163,29
MGE_263,25
